s.no,text,AIRLINE SENTIMENT,AIRLINE
1,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",,Virgin America
2,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,,Virgin America
3,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,,Virgin America
4,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",,Virgin America
5,@VirginAmerica happy to spend the day together. Let's do this!,,Virgin America
6,@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9,,Virgin America
7,@VirginAmerica missed my flight. How does standby work?,,Virgin America
8,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps,,Virgin America
9,@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS,,Virgin America
10,@VirginAmerica thank you! I absolutely will _Ÿ˜_,,Virgin America
11,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD,,Virgin America
12,@VirginAmerica are you ready!? Let's say it together.. 'Noooo turbulence today!' _Ÿ˜˜,,Virgin America
13,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,,Virgin America
14,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW",,Virgin America
15,@VirginAmerica can u help this _Ÿ‘¸ @FreyaBevan_Fund needs urgent treatment in_Ÿ‡º_Ÿ‡¸2y old battling cancer could u help with flights _Ÿ’—#freyasfund,,Virgin America
16,@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel,,Virgin America
17,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW,,Virgin America
18,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,,Virgin America
19,@VirginAmerica add DTW and I'm sold!,,Virgin America
20,@VirginAmerica How about some free drinks on the flight back for the free promo?,,Virgin America
21,@VirginAmerica @SSal thanks!,,Virgin America
22,@VirginAmerica momma I made it! _Ÿ˜Å_Ÿ˜Å_Ÿ˜Å,,Virgin America
23,@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.,,Virgin America
24,@VirginAmerica help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!,,Virgin America
25,@VirginAmerica @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair,,Virgin America
26,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage.",,Virgin America
27,@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks,,Virgin America
28,@VirginAmerica Thanks!,,Virgin America
29,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel,,Virgin America
30,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef,,Virgin America
31,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,,Virgin America
32,"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)",,Virgin America
